Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    14896     0.00     0.00  void std::swap<int>(int&, int&)
  0.00      0.00     0.00    12285     0.00     0.00  void std::swap<vec<3u, int>*>(vec<3u, int>*&, vec<3u, int>*&)
  0.00      0.00     0.00    11571     0.00     0.00  __gnu_cxx::new_allocator<vec<3u, int> >::~new_allocator()
  0.00      0.00     0.00    10682     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >* std::__addressof<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >(std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >&)
  0.00      0.00     0.00     9968     0.00     0.00  __gnu_cxx::new_allocator<vec<3u, int> >::deallocate(vec<3u, int>*, unsigned int)
  0.00      0.00     0.00     9968     0.00     0.00  __gnu_cxx::new_allocator<vec<3u, int> >::allocate(unsigned int, void const*)
  0.00      0.00     0.00     9968     0.00     0.00  bool __gnu_cxx::operator!=<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >(__gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > > const&, __gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > > const&)
  0.00      0.00     0.00     9968     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00     9968     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_M_allocate(unsigned int)
  0.00      0.00     0.00     9968     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      0.00     0.00     9968     0.00     0.00  std::allocator_traits<std::allocator<vec<3u, int> > >::deallocate(std::allocator<vec<3u, int> >&, vec<3u, int>*, unsigned int)
  0.00      0.00     0.00     9968     0.00     0.00  std::allocator_traits<std::allocator<vec<3u, int> > >::allocate(std::allocator<vec<3u, int> >&, unsigned int)
  0.00      0.00     0.00     9968     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00     9968     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00     9079     0.00     0.00  __gnu_cxx::new_allocator<vec<3u, int> >::new_allocator(__gnu_cxx::new_allocator<vec<3u, int> > const&)
  0.00      0.00     0.00     9079     0.00     0.00  std::allocator<vec<3u, int> >::~allocator()
  0.00      0.00     0.00     9079     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     9079     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::~_Vector_base()
  0.00      0.00     0.00     9079     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::~vector()
  0.00      0.00     0.00     8216     0.00     0.00  std::move_iterator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*>::base() const
  0.00      0.00     0.00     8190     0.00     0.00  std::remove_reference<std::allocator<vec<3u, int> >&>::type&& std::move<std::allocator<vec<3u, int> >&>(std::allocator<vec<3u, int> >&)
  0.00      0.00     0.00     7489     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const& std::forward<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&>(std::remove_reference<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&>::type&)
  0.00      0.00     0.00     7476     0.00     0.00  line(int, int, int, int, TGAImage&, TGAColor const&)
  0.00      0.00     0.00     7476     0.00     0.00  void __gnu_cxx::new_allocator<vec<3u, int> >::construct<vec<3u, int>, vec<3u, int> const&>(vec<3u, int>*, vec<3u, int> const&)
  0.00      0.00     0.00     7476     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int)
  0.00      0.00     0.00     7476     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      0.00     0.00     7476     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.00     0.00     7476     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >::operator++()
  0.00      0.00     0.00     7476     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3u, int> const*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >::operator*() const
  0.00      0.00     0.00     7476     0.00     0.00  std::move_iterator<vec<3u, int>*>::operator*() const
  0.00      0.00     0.00     7476     0.00     0.00  std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00     7476     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00     7476     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00     7476     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      0.00     0.00     7476     0.00     0.00  std::move_iterator<vec<3u, int>*>::operator++()
